N° Enr.;NomETS;RegionETS
356;BEGAM SCHOOL;BRAZZAVILLE
357;BEKEL LADOUM;SANGHA
358;BEKEN;POINTE-NOIRE
359;BEKEN 1;POINTE-NOIRE
360;BEKEN 2;POINTE-NOIRE
361;BEL ESPOIR DE POKOLA;SANGHA
362;BEL HERITAGE;BRAZZAVILLE
363;BELLE REUSSITE;BRAZZAVILLE
364;BELLE SCHOOL;POINTE-NOIRE
365;BEN;POINTE-NOIRE
366;BEN LERYCH;POINTE-NOIRE
367;BEN-ETIENNE;BRAZZAVILLE
368;BENEDICTION JAH;BRAZZAVILLE
369;BENEDICTION SOBE;POINTE-NOIRE
370;BENI SCHOOL;POINTE-NOIRE
371;BENIE ET PRECIEUSE;BRAZZAVILLE
372;BENIE ET PRECIEUSE;POOL
373;BENIE ET PRECIEUSE-TAL-2;BRAZZAVILLE
374;BENIE ET PRECIEUX;BRAZZAVILLE
375;BENIS DE L'ETERNEL;BRAZZAVILLE
376;BENITECH;BRAZZAVILLE
377;"BENOIT LOEMBET ""A""";POINTE-NOIRE
378;"BENOIT LOEMBET ""B""";POINTE-NOIRE
379;BENOIT SCHOOL;BRAZZAVILLE
380;BENOIT XVI;BRAZZAVILLE
381;BENOÎT SCHOOL;BRAZZAVILLE
382;BENOÎT XVI;BRAZZAVILLE
383;BENOÎT XVI-DJIRI;BRAZZAVILLE
384;BERCEAU DE L'INTELLIGENCE;BRAZZAVILLE
385;BERNADETTE BAYONNE A;BRAZZAVILLE
386;BERNADETTE BAYONNE B;BRAZZAVILLE
387;BERNARD BOUSSOLE;BRAZZAVILLE
388;BERNARD DADIE;BRAZZAVILLE
389;BERNARD ET ANGELE;BRAZZAVILLE
390;BERNARD LE BRUN;POINTE-NOIRE
391;BERNARD LEBRUN;POINTE-NOIRE
392;BERTH HONORA;POINTE-NOIRE
393;BERZOLINE;BRAZZAVILLE
394;BESCHERELLE;BRAZZAVILLE
395;BEST BELY;POINTE-NOIRE
396;BETHANIE;POINTE-NOIRE
